INDEX,APR,MAI,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR
Nino1+2,0.71,0.78,0.69,0.53,0.42,0.35,0.33,0.43,0.52,0.49,0.49,0.51
Nino3,0.74,0.83,0.76,0.63,0.59,0.55,0.48,0.61,0.73,0.75,0.88,0.69
Nino4,0.75,0.68,0.70,0.73,0.66,0.51,0.46,0.55,0.66,0.62,0.63,0.69
Nino3.4,0.87,0.82,0.77,0.68,0.58,0.53,0.56,0.64,0.75,0.69,0.75,0.77
EMI,0.46,0.23,0.20,0.23,0.20,0.16,0.13,0.10,0.10,0.04,0.02,0.17
NAT,-0.18,-0.05,0.09,0.09,0.13,0.16,0.24,0.25,0.23,0.19,0.20,0.24
SAT,0.65,0.36,0.17,0.09,0.08,0.12,0.22,0.26,0.29,0.40,0.38,0.39
TASI,-0.83,-0.40,-0.08,0.01,0.04,0.03,0.02,-0.01,-0.06,-0.20,-0.18,-0.16
TNA,-0.12,0.01,0.10,0.10,0.14,0.18,0.23,0.28,0.28,0.28,0.28,0.30
TSA,0.59,0.29,0.15,0.10,0.14,0.16,0.21,0.28,0.30,0.34,0.36,0.40
WTIO,0.45,0.60,0.65,0.52,0.46,0.45,0.35,0.31,0.40,0.42,0.42,0.46
SETIO,0.50,0.36,0.26,0.01,-0.31,-0.52,-0.55,-0.32,-0.10,0.14,0.35,0.45
SWIO,0.23,0.23,0.28,0.29,0.37,0.43,0.53,0.56,0.60,0.50,0.64,0.58
IOD,-0.05,0.23,0.39,0.51,0.77,0.97,0.90,0.63,0.50,0.29,0.06,0.01
WNPM,-3.62,-2.12,-1.90,-1.42,1.03,1.78,1.23,1.47,1.73,0.48,-0.55,-0.26
AUSM,-0.66,-1.39,-0.21,-0.44,-0.21,-0.24,-0.39,-0.64,-0.51,-0.03,-0.16,-0.88
SAM,-1.17,0.11,-0.58,0.14,-0.35,0.06,-0.10,-0.74,-0.03,0.14,0.62,0.87
EASM,3.62,2.12,1.90,1.42,-1.03,-1.78,-1.23,-1.47,-1.73,-0.48,0.55,0.26
IM,-2.26,-1.24,-0.93,0.08,-0.15,-0.23,-0.29,-0.23,0.11,0.30,0.01,-0.58
WYM,-4.50,-2.43,-1.34,-0.72,0.39,0.29,-0.11,-1.30,-0.74,-0.44,-0.77,-0.35
PDO,0.32,0.22,0.27,0.31,0.18,0.03,0.04,-0.01,-0.17,-0.31,-0.27,-0.26
SOI,-0.92,-0.37,-0.64,-1.03,-0.57,-0.53,0.30,-0.19,0.29,0.35,0.16,0.03
NPI,-4.79,-0.57,-0.48,0.00,-0.14,0.79,-0.06,-0.50,-1.87,-0.86,-2.37,-0.46
