INDEX,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM
nino12,0.73,0.67,0.55,0.43,0.37,0.37,0.43,0.5,0.53,0.5
nino3,0.77,0.74,0.66,0.59,0.54,0.55,0.61,0.73,0.85,0.77
nino4,0.71,0.7,0.69,0.63,0.54,0.51,0.56,0.64,0.7,0.65
nino3.4,0.82,0.76,0.68,0.6,0.56,0.58,0.65,0.73,0.8,0.74
em,0.3,0.22,0.21,0.2,0.16,0.13,0.11,0.09,0.08,0.08
nat,-0.05,0.04,0.1,0.12,0.17,0.22,0.24,0.23,0.21,0.21
sat,0.39,0.2,0.11,0.1,0.14,0.2,0.26,0.32,0.36,0.39
tas,-0.44,-0.16,-0.01,0.03,0.03,0.02,-0.02,-0.09,-0.15,-0.18
tna,-0.0,0.07,0.11,0.14,0.18,0.23,0.27,0.28,0.28,0.29
tsa,0.34,0.18,0.13,0.13,0.17,0.21,0.26,0.31,0.33,0.37
wtio,0.56,0.59,0.55,0.48,0.42,0.37,0.35,0.38,0.42,0.43
setio,0.38,0.21,-0.01,-0.27,-0.46,-0.46,-0.32,-0.1,0.13,0.31
swio,0.25,0.27,0.31,0.36,0.44,0.51,0.56,0.56,0.59,0.57
iod,0.19,0.38,0.56,0.75,0.88,0.83,0.68,0.48,0.29,0.12
wnpm,-2.54,-1.81,-0.76,0.46,1.35,1.49,1.48,1.23,0.53,-0.12
ausm,-0.75,-0.68,-0.28,-0.3,-0.27,-0.42,-0.5,-0.43,-0.27,-0.36
sam,-0.55,-0.11,-0.26,-0.05,-0.13,-0.26,-0.29,-0.21,0.23,0.55
easm,2.54,1.81,0.76,-0.46,-1.35,-1.49,-1.48,-1.23,-0.53,0.12
im,-1.48,-0.7,-0.33,-0.1,-0.22,-0.25,-0.13,0.06,0.13,-0.09
wym,-2.76,-1.49,-0.55,-0.01,0.19,-0.37,-0.71,-0.9,-0.81,-0.52
pdo,0.3,0.29,0.27,0.18,0.09,0.02,-0.05,-0.14,-0.2,-0.29
so,-0.77,-0.69,-0.75,-0.7,-0.41,-0.25,0.18,0.14,0.17,0.19
np,-1.95,-0.35,-0.2,0.22,0.19,0.07,-0.81,-1.16,-1.88,-1.23
