INDEX,MAI,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR
Nino1+2,0.95,0.76,0.57,0.4,0.29,0.33,0.44,0.52,0.54,0.64,0.61,0.67
Nino3,1.01,0.96,0.85,0.8,0.74,0.64,0.62,0.76,0.79,0.93,0.89,0.69
Nino4,0.74,0.79,0.87,0.84,0.65,0.58,0.64,0.76,0.79,0.85,0.95,0.99
Nino3.4,0.96,0.98,0.89,0.81,0.78,0.74,0.73,0.83,0.85,0.9,1.0,0.88
EMI,0.26,0.26,0.3,0.31,0.27,0.25,0.26,0.24,0.22,0.17,0.28,0.29
NAT,-0.07,0.1,0.18,0.25,0.24,0.25,0.26,0.26,0.22,0.19,0.25,0.31
SAT,0.57,0.37,0.35,0.35,0.34,0.31,0.33,0.34,0.45,0.44,0.44,0.45
TASI,-0.64,-0.27,-0.17,-0.1,-0.1,-0.06,-0.07,-0.08,-0.24,-0.25,-0.18,-0.14
TNA,0.05,0.15,0.19,0.24,0.24,0.25,0.28,0.32,0.31,0.29,0.34,0.39
TSA,0.46,0.33,0.28,0.24,0.29,0.29,0.29,0.26,0.31,0.33,0.34,0.34
WTIO,0.72,0.77,0.62,0.56,0.5,0.4,0.36,0.52,0.61,0.63,0.56,0.54
SETIO,0.5,0.33,-0.09,-0.52,-0.56,-0.52,-0.44,-0.13,0.08,0.4,0.48,0.47
SWIO,0.3,0.38,0.43,0.49,0.56,0.64,0.8,0.7,0.69,0.63,0.58,0.51
IOD,0.23,0.44,0.71,1.08,1.05,0.92,0.8,0.65,0.52,0.22,0.08,0.07
WNPM,-1.1,-2.7,-0.52,1.07,1.16,2.28,2.03,1.56,0.92,-0.06,-0.48,0.22
AUSM,0.08,-0.52,0.26,0.47,-0.27,-0.49,-0.45,0.51,1.06,-0.75,-0.36,-0.97
SAM,-1.31,-0.11,-0.33,-0.35,-0.26,-0.78,-0.71,0.02,0.64,0.44,0.36,0.42
EASM,1.1,2.7,0.52,-1.07,-1.16,-2.28,-2.03,-1.56,-0.92,0.06,0.48,-0.22
IM,-1.43,-0.61,-0.2,-0.25,-0.83,-0.92,-0.54,0.13,-0.17,-0.09,0.01,-0.26
WYM,-1.49,-2.62,-0.87,0.59,-0.2,-1.27,-2.15,-2.15,-1.44,-2.93,-2.27,-1.8
PDO,0.76,0.6,0.4,0.35,0.37,0.22,0.15,0.09,-0.05,-0.01,-0.05,-0.09
SOI,-0.21,-0.56,-0.33,-0.56,-0.27,0.62,0.43,0.32,0.29,0.05,0.46,0.58
NPI,-1.6,-1.3,-1.01,0.13,-0.75,-0.75,-1.76,-2.0,-1.5,-0.81,-1.1,-1.3
