INDEX,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA
nino12,0.76,0.57,0.42,0.34,0.36,0.43,0.51,0.59,0.6,0.64
nino3,0.94,0.87,0.8,0.73,0.67,0.67,0.75,0.87,0.87,0.84
nino4,0.8,0.83,0.79,0.69,0.63,0.66,0.76,0.86,0.86,0.93
nino3.4,0.94,0.89,0.83,0.77,0.75,0.77,0.83,0.92,0.92,0.93
em,0.27,0.29,0.29,0.28,0.26,0.25,0.25,0.24,0.22,0.25
nat,0.07,0.18,0.22,0.25,0.25,0.25,0.24,0.22,0.22,0.25
sat,0.43,0.36,0.35,0.33,0.33,0.32,0.37,0.41,0.44,0.44
tas,-0.36,-0.18,-0.12,-0.09,-0.08,-0.07,-0.13,-0.19,-0.22,-0.19
tna,0.13,0.19,0.22,0.24,0.26,0.28,0.3,0.3,0.31,0.34
tsa,0.36,0.29,0.27,0.28,0.29,0.28,0.29,0.3,0.33,0.34
wtio,0.71,0.65,0.56,0.48,0.42,0.43,0.5,0.59,0.6,0.58
setio,0.25,-0.09,-0.39,-0.53,-0.51,-0.37,-0.17,0.11,0.32,0.45
swio,0.37,0.43,0.49,0.56,0.66,0.71,0.73,0.67,0.63,0.57
iod,0.46,0.74,0.95,1.02,0.92,0.79,0.67,0.48,0.28,0.12
wnpm,-1.44,-0.72,0.57,1.5,1.83,1.96,1.5,0.78,0.13,-0.11
ausm,-0.06,0.07,0.16,-0.09,-0.4,-0.14,0.39,0.27,-0.02,-0.69
sam,-0.58,-0.26,-0.31,-0.46,-0.58,-0.48,-0.04,0.33,0.48,0.41
easm,1.44,0.72,-0.57,-1.5,-1.83,-1.96,-1.5,-0.78,-0.13,0.11
im,-0.75,-0.35,-0.43,-0.67,-0.76,-0.44,-0.19,-0.05,-0.09,-0.11
wym,-1.66,-0.97,-0.17,-0.29,-1.21,-1.85,-1.96,-2.27,-2.21,-2.34
pdo,0.61,0.47,0.39,0.32,0.25,0.16,0.09,0.06,-0.04,-0.05
so,-0.37,-0.51,-0.44,-0.24,0.27,0.48,0.27,0.17,0.27,0.31
np,-1.3,-0.73,-0.54,-0.46,-1.09,-1.5,-1.81,-1.56,-1.14,-1.07
