INDEX,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ
nino12,-0.3,-0.34,-0.39,-0.34,-0.27,-0.22,-0.19,-0.25,-0.33,-0.44
nino3,-0.13,-0.17,-0.16,-0.1,-0.04,0.01,0.02,-0.02,-0.07,-0.05
nino4,0.36,0.23,0.21,0.15,0.07,0.03,0.06,0.12,0.13,0.14
nino3.4,0.04,-0.06,-0.06,-0.07,-0.07,-0.02,0.05,0.06,0.06,0.1
em,-0.0,-0.16,-0.25,-0.37,-0.47,-0.5,-0.46,-0.41,-0.39,-0.37
nat,0.03,0.12,0.17,0.17,0.12,0.07,0.05,0.05,0.06,0.07
sat,0.22,0.18,0.12,0.11,0.14,0.18,0.16,0.09,0.05,0.05
tas,-0.19,-0.06,0.05,0.06,-0.02,-0.11,-0.11,-0.05,0.01,0.03
tna,0.34,0.41,0.46,0.46,0.41,0.37,0.36,0.35,0.35,0.35
tsa,0.21,0.17,0.13,0.09,0.09,0.1,0.1,0.07,0.07,0.09
wtio,0.42,0.43,0.44,0.45,0.41,0.34,0.27,0.24,0.21,0.18
setio,0.16,0.24,0.39,0.6,0.81,0.92,0.89,0.79,0.69,0.67
swio,0.16,0.22,0.24,0.21,0.14,0.14,0.15,0.15,0.1,0.11
iod,0.26,0.2,0.05,-0.15,-0.4,-0.58,-0.62,-0.55,-0.48,-0.49
wnpm,0.9,0.19,0.02,0.3,0.47,0.45,0.35,0.11,0.01,-0.0
ausm,-0.75,-0.61,-1.21,-1.05,-0.79,-0.28,-0.23,-0.21,-0.17,-0.19
sam,0.19,0.28,0.58,0.47,0.89,0.86,0.82,0.41,0.32,0.19
easm,-0.9,-0.19,-0.02,-0.3,-0.47,-0.45,-0.35,-0.11,-0.01,0.0
im,-0.12,0.06,0.16,0.17,0.19,0.18,0.24,0.32,0.47,0.52
wym,0.13,0.18,0.57,1.17,1.29,1.14,0.55,0.2,0.23,0.43
pdo,0.06,0.03,-0.03,-0.12,-0.23,-0.34,-0.43,-0.55,-0.64,-0.59
so,0.21,0.22,0.28,0.25,0.29,0.35,0.36,0.24,0.09,0.09
np,-0.05,0.06,0.18,0.16,0.16,-0.01,0.35,0.39,0.61,0.3
